,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack  Brute Force,Web Attack  Sql Injection,Web Attack  XSS,zBENIGN,accuracy,macro avg,weighted avg
precision,0.9696969696969697,1.0,0.9980582524271845,0.9989571565134266,0.9927272727272727,0.9965397923875432,1.0,1.0,0.9997481425513159,1.0,0.9154929577464789,0.0,0.7058823529411765,0.9998150952699609,0.9995897987184746,0.8983512851615234,0.9995826225754278
recall,0.9795918367346939,0.9993750976409936,0.9980582524271845,0.9990439770554493,0.9927272727272727,0.993103448275862,1.0,1.0,0.9998740554156171,1.0,0.8666666666666667,0.0,0.7272727272727273,0.9998679182149587,0.9995897987184746,0.8968272323165304,0.9995897987184746
f1-score,0.9746192893401016,0.9996874511642444,0.9980582524271845,0.9990005648981011,0.9927272727272727,0.9948186528497409,1.0,1.0,0.9998110950192053,1.0,0.8904109589041095,0.0,0.7164179104477613,0.9998415060447834,0.9995897987184746,0.8975280681301789,0.9995857897591027
support,98.0,6401.0,515.0,11506.0,275.0,290.0,397.0,2.0,7940.0,295.0,75.0,1.0,33.0,113566.0,0.9995897987184746,141394.0,141394.0
