,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Infiltration,PortScan,SSH-Patator,Web Attack  Brute Force,Web Attack  Sql Injection,Web Attack  XSS,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.9980582524271845,0.9997393117831074,1.0,0.9965397923875432,1.0,1.0,0.9997481425513159,1.0,0.9014084507042254,1.0,0.7027027027027027,0.9991016242633319,0.9690920501966216,0.9991300896944904
recall,1.0,1.0,0.9980582524271845,0.9999130888232227,0.9927272727272727,0.993103448275862,1.0,1.0,0.9998740554156171,1.0,0.8533333333333334,1.0,0.7878787878787878,0.9991016242633319,0.9711452491447138,0.9991016242633319
f1-score,1.0,1.0,0.9980582524271845,0.9998261927522378,0.9963503649635036,0.9948186528497409,1.0,1.0,0.9998110950192053,1.0,0.8767123287671234,1.0,0.7428571428571429,0.9991016242633319,0.9698795407412415,0.9991110298376795
support,98.0,6401.0,515.0,11506.0,275.0,290.0,397.0,2.0,7940.0,295.0,75.0,1.0,33.0,0.9991016242633319,27828.0,27828.0
